text,actual,predicted,error_type
"Radio:ACTIVE never gets old and never will  this is the 4th time i have listened to the cd (its on repeat) today, and still love it! =D",positive,neutral,positive -> neutral
*pokes and runs away* ... I WANT SUGAR !,negative,neutral,negative -> neutral
_lord But that means you`ll leave me alone.,neutral,negative,neutral -> negative
 huh what the ****? Smelly? Noooo. I love alex Vixon,neutral,positive,neutral -> positive
_of_Chas good mornin sunshine...at least the work puter will go faster,neutral,positive,neutral -> positive
 ah  Hate it when that happens! The Race to Erase MS is this week. Are you going?,negative,neutral,negative -> neutral
6 freakin days!!  Just a thought...what would I have to look forward to after this?,negative,neutral,negative -> neutral
 ohhh yea it is from the same film  and this one had been a fave for a longgggg time... any1 for humma humma?,positive,neutral,positive -> neutral
"Getting used to getting up in the cold, but my asthma is paying for it.",negative,neutral,negative -> neutral
learning to play guitar is one of the best things I have done out of boredom,positive,neutral,positive -> neutral
Right now at my second gig !!! Sippinn on guess whut ? Water  we sta focused we are on the job,positive,neutral,positive -> neutral
 Ok.. so what do you think of a snapshot befoooore the vid recording on Seesmic so the ladies dont look like freaks? just sayin,negative,neutral,negative -> neutral
 I think it goes against everything i thought the olympic spirit of Team GB is/was,negative,neutral,negative -> neutral
"Dlukasrossi Lukas- your amazing wife, her updates are locked! Hard to convince people to follow protected profiles,",positive,neutral,positive -> neutral
 i can almost imagine what the call taker must`ve felt like taking that call...especially if they have young ones at home.,neutral,negative,neutral -> negative
" dude, come on... at least rotate that ****!",negative,neutral,negative -> neutral
Getting really guilty,negative,neutral,negative -> neutral
ans so the lion.......kicked the dogs ****!!!!,negative,neutral,negative -> neutral
Long to-do list. Little desire to do it all.,negative,neutral,negative -> neutral
"Mom just 'he`d' me. *sigh* She`s wonderful, and it was just a slip, but you`d think after coming with for my surgery it might go away...",neutral,positive,neutral -> positive
  Hello there hope your over your flu now,positive,neutral,positive -> neutral
Im wishing that i had the weekend off so i can go to SOL.,positive,neutral,positive -> neutral
"aw! I`m gonna miss my old username... nick jonas, shontelle layne, and sean kingston replied to my OLD USERNAME!  I`m gonna start all over",neutral,negative,neutral -> negative
 I want to SOOOOOOO BAD!!!,neutral,negative,neutral -> negative
ahh yes the obligations of a vampire kept me away from twitter.but now i`m back & will try 2 update as much as possible.i lost a donor,negative,neutral,negative -> neutral
"*uh* totally forgot the gentoo reinstallation  don`t know what i should backup. the make.conf, my home and /boot. nothing else..?",neutral,negative,neutral -> negative
" ah its getting there  still a fair bit to go, but it`s coming together fairly well! aw  where are you from?",positive,neutral,positive -> neutral
is going to see wolverine and is a lil bit excited,positive,neutral,positive -> neutral
"3 hours sleep last night, all of my being wants to crawl into a ball somewhere and sleep for about 5 more hours. At work till six too",negative,neutral,negative -> neutral
" haha nice! I heard it`s a sweet hotel. On another note, not a good game last night",neutral,positive,neutral -> positive
 is a lumberjack  http://twitpic.com/4wqe8,neutral,negative,neutral -> negative
"_Cordon LOL, you`re welcome",neutral,positive,neutral -> positive
Rele doesnt want to leave lfpa.,neutral,negative,neutral -> negative
 better check YouTube,neutral,positive,neutral -> positive
How are YOU convinced that I have always wanted you? What signals did I give off...**** I think I just lost another friend,negative,neutral,negative -> neutral
Phone went in the toilet   The truth is I`m surprised is hasn`t happen sooner!,neutral,negative,neutral -> negative
 we miss you in SE Asia. Come visit us when you have time.,negative,neutral,negative -> neutral
" Sons of ****, why couldn`t they put them on the releases we already bought",negative,neutral,negative -> neutral
Thankful for last minute doc appointments... Baby girl has a temp of 105.+  sitting at the doc`s waitin`,positive,neutral,positive -> neutral
mm it was cold in your shadow anyway. Ooh monday,neutral,positive,neutral -> positive
 omg me 2 !! Haha i was half an hour late 4 work whoops !! Hahaha i h8 workin sat mornins,negative,neutral,negative -> neutral
why yes jeeves. bring me that noose there  TOO MANY ASSIGNMENTS!,negative,neutral,negative -> neutral
dont wanna work tonight,negative,neutral,negative -> neutral
don`t want to go to work tonight,negative,neutral,negative -> neutral
trying to NOT fall asleep while doing ancient assignment. Drinking some water with ice and lime! yum,positive,neutral,positive -> neutral
revision...what fun...still I have thursday to do basically nothing,negative,positive,negative -> positive
"spray tan = fail on legs and feet. I`ve been scrubbing them and feet look better, but they looked awful this morning  Everywhere else = ok",negative,neutral,negative -> neutral
_lpz yeah text me!!! i wnat to go!!!!! but my car is broken!!,negative,neutral,negative -> neutral
C-News wasn`t as bad as I expected... could have done better... but today we did a great show...,positive,neutral,positive -> neutral
" I made room...I don`t have a bed from how much room I made and now I`m outta space for sure lol, and I know I`m pathetic",negative,neutral,negative -> neutral
i am living in ignorance  :@,negative,neutral,negative -> neutral
HOMELESS afterJune 1st.......,negative,neutral,negative -> neutral
"wish I could feel no pain (8)  but it`s ok, at least they like Brazil!",positive,neutral,positive -> neutral
" No prob, skittles we always gonna have yall`s backs. The true sweeties dont play.. LOL But yea we just got heated. We sry",negative,neutral,negative -> neutral
26 pin multi core cable goes bad just B4 service,negative,neutral,negative -> neutral
 I tweet sooo much about you. Gahd.  Hahaha!,neutral,positive,neutral -> positive
On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......**** i feel old,negative,neutral,negative -> neutral
Off to bed I go to dream of a world where Wal-Mart and Liquor stores all get blown up,negative,neutral,negative -> neutral
is bored Riah fell asleep and now I have nothing to do maybe I will go to bed good night,neutral,negative,neutral -> negative
 Call me when you have time and a good phone  I wanna catch up with you! I love you and miss you.,neutral,positive,neutral -> positive
Sittin through this boring **** conference call... Then i get to go home n nap *{missin  alot  }*,negative,neutral,negative -> neutral
PArts of me are starting to feel the effects of over tanning,negative,neutral,negative -> neutral
  awesome! All deserved I`m sure. Miss the Crabs games,positive,negative,positive -> negative
going to take my last final ... wish me luck ..,positive,neutral,positive -> neutral
"  aaah k..am like a fan incarnated,so kinda like a mutant. till date, Ghalib has never *yet* left my questions unanswered",neutral,negative,neutral -> negative
I just got home.  i bought twiggies and a toothbrush that promises to make my teeth 60% cleaner. - http://tweet.sg,positive,neutral,positive -> neutral
The nocturnal serendipity... Kashmir is an important means to that end...,positive,negative,positive -> negative
"hopping in the shower,   you can help me tidy my room  its a **** hole, mums **** friends",negative,neutral,negative -> neutral
"So much for just an oil change... Do not pass Go, do not collect $200, lose $160",neutral,negative,neutral -> negative
_xox ur really smart,positive,neutral,positive -> neutral
" i know, right? i`m super-excited - i told y`all this is the busiest time of year for me",positive,neutral,positive -> neutral
yea i`m gonna need to put the blunt down,negative,neutral,negative -> neutral
night night twits! im so glad I will be waking up to a saturday off work!! printer has broke though,neutral,positive,neutral -> positive
Lovin  the clean shaven Mr Flowers!  He looks so young!!!  Reminds me that I`m getting old,positive,neutral,positive -> neutral
cant sleep again! Been up for ages...,neutral,negative,neutral -> negative
no more brother for 2 weeks.....,positive,neutral,positive -> neutral
 our love goes out to you Kanoa  sorry for your loss dear,positive,neutral,positive -> neutral
just found out i wont know my uni results for this year until 17th july at the earliest!!!! hate the wait,negative,neutral,negative -> neutral
" I work with drunk golfers, it can be exciting! It wasn`t bad  Yours, sir?",positive,negative,positive -> negative
_renee _B Fa real Me n Shay been on the toilet all night Shlda knwn sumthin ws up whn they didn`t crd us 4 our Scorpian bwl,neutral,negative,neutral -> negative
 You don`t reply to none of your fans ... I don`t know what trust,negative,neutral,negative -> neutral
hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs,negative,neutral,negative -> neutral
"Have I ever told you I absolutly hate writing emails, status pdates are fine but emails have so much...finality...to them",negative,positive,negative -> positive
"Just booked my tickets for London on thursday, i`m so exicted",positive,neutral,positive -> neutral
"Intel gfx driver situation much better with recent upgrades. kernel 2.6.30rc4 and driver from git: Suspend working again, fewer mem leaks",negative,positive,negative -> positive
 Not available in my area  I would too,negative,neutral,negative -> neutral
 Just DMed you your login details for the Twitter Salvation System. Enjoy! do let me know what u think.,positive,neutral,positive -> neutral
http://slingalink.com/eVicE1 my daughters kindergarden  !,neutral,negative,neutral -> negative
" You too, my friend",neutral,positive,neutral -> positive
 anytime!.. literally hahaha,neutral,positive,neutral -> positive
  #followfriday thank you!  I`m still not even close to what I had as ,positive,neutral,positive -> neutral
 Likewise. But I don`t know anyone who uses gtalk and the likes so I`m not holding much hope,negative,neutral,negative -> neutral
 again your fault  i didnt make u leave,negative,neutral,negative -> neutral
 its cool,neutral,positive,neutral -> positive
"is abit happier at the thought that Ashleigh & Loocie with be here soonish, but sad to miss her S-ane  ;)",neutral,negative,neutral -> negative
There`s starwars day? ) OMG Rocio!,neutral,negative,neutral -> negative
Taking a load of old broken concrete to the landfill. Tried to find a recycler,neutral,negative,neutral -> negative
_Cullen8 i hate the rain *laughs*. thanks *smiles* i miss her loads i couldnt stop crying before,neutral,negative,neutral -> negative
I cant to sleep and tomorrow i must wake up too early,negative,neutral,negative -> neutral
love to but  already got plan  going to queen mary !,positive,neutral,positive -> neutral
"If you carry your childhood with you,  you never become old..A. Sutzkever",neutral,positive,neutral -> positive
Friday night has gone too quickly   My bottle`s gone for tomorrow.. come on Everton,positive,neutral,positive -> neutral
" I know sleep is so over rated! who needs it, right!",negative,neutral,negative -> neutral
 awesome! have to take a look at them when i`m home.,positive,neutral,positive -> neutral
 I really like pink after I saw her live while in the new T-MOBILE Advert,positive,neutral,positive -> neutral
 lol haha fresh to death lol ha ha I love and miss u 2 id almost given ï¿½ on u cuz u nvr respond 2me  but u did today! Luv u2,neutral,positive,neutral -> positive
"traveling alone makes i meet new people,new circle ..strangers become friends",positive,neutral,positive -> neutral
 Hey! How u feeling? I know Charla hit me to see there were any places she can go..too young  Did she have fun?,neutral,positive,neutral -> positive
"_keepsitreal haha awe. Well right now, I could be at home but I have to be here. It`s horrible  Lol",neutral,negative,neutral -> negative
i`m looking forward to the joy of the f1.... hoping its another disaterous race for ferrari and button gets another well deserved win,neutral,positive,neutral -> positive
"sleepy time! and, my room is finally clean.",positive,neutral,positive -> neutral
 let me know how it goes I`m praying. Ummmph. I still can`t believe it.,positive,negative,positive -> negative
 you looked great for being sick yesterday! i`m sorry I didn`t really make an effort to say hi...  I was preoccupied for a while,neutral,negative,neutral -> negative
Sunday morning and i realised im a film snob  as it said on MSN entertainment,positive,neutral,positive -> neutral
 ! HE HAS A FAVOURITE! You`re his favourite ;) OMGAAH.   sorry for creepering? ..not really lol,neutral,negative,neutral -> negative
 I think you and Tamera should have your own show anyway...the CW or ABC fam is not appreciating you like they should.,negative,neutral,negative -> neutral
 apparently a looong time seeing as they seem to be everywhere except LA,neutral,negative,neutral -> negative
:: holy kraut. I canNOT stay up this late. But the book is done and in the author`s in box.  Tucking in with kitty-boys now. Nighty-night.,negative,neutral,negative -> neutral
Bored... Some vector ****... Off to work after this class..,negative,neutral,negative -> neutral
_c ive sorted it now operating system and all apps are on a seperate 60gb drive,positive,neutral,positive -> neutral
 You`re right....I`m 29 and  I`ve heard the song a time or two,positive,neutral,positive -> neutral
"Repeat final seconds of Game 3 Dal-Den please! **** THOSE OFFICIALS. :| Anyway, happy mothers day.",neutral,positive,neutral -> positive
Sharapova loses 1st set 6-1,negative,neutral,negative -> neutral
has woken up feeling a little special...i dont thing drink the bar dry is on the cards. when i finally sober up its home time i think,positive,neutral,positive -> neutral
So bummed that I can`t see LTJ in June  hoping for a UK yoke soon,negative,neutral,negative -> neutral
 Whaat? That would seem to be a very powerful spell. Kind of tips the scale in their favor.,neutral,positive,neutral -> positive
in about half a hour i`m going to my english lesson...guess i`ll have to wait...and wait for a couple hours so i`m over with it.(( :S   )),negative,neutral,negative -> neutral
Having internet access on board means I can see what bad weather we are flying into   http://bit.ly/h14Tw,neutral,negative,neutral -> negative
"It`s so awesome to know that there are people who think I have what it takes to make it in Nashville, and who offer to help if I want it.",positive,neutral,positive -> neutral
 RIP Michael,negative,neutral,negative -> neutral
Has been underpaid  just when i really didn`t need to be as well.,negative,neutral,negative -> neutral
I totally want some white chocolate macadamia cookies from Mrs. Fields but the mall is soooo far away. Bleh  i think I`ll make my own,negative,neutral,negative -> neutral
" But it is our reality  , we must survive. What doesn`t kills, makes stronger. PA`LANTE LORE !",positive,negative,positive -> negative
 Did I miss the fun?,neutral,negative,neutral -> negative
 Prowse? I got a Christmas card of him last year.  & I wish I had the money right now. Saving for an apartment,neutral,positive,neutral -> positive
is being a horrible twitter-er. Moved in to my Houston apartment and awaiting work starting on Monday. Real world=now,negative,neutral,negative -> neutral
My graduation day... And i feel like a failure...,neutral,negative,neutral -> negative
this sux but took like 4 minutes. going to sleep finally  http://img36.imageshack.us/img36/4603/iprevailedsig.png,negative,neutral,negative -> neutral
o ok..im jealous..i wish I was in bed,neutral,negative,neutral -> negative
 DO NOT DO IT  I`ve seen enough  movies to 'know' that something terrible will happen... LOL,negative,neutral,negative -> neutral
" thanks, I couldn`t find a way around it on iTunes though, found a little app called Switch that did the job nicely",positive,neutral,positive -> neutral
"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only",positive,neutral,positive -> neutral
 remember the guy who 1st #tweetbud you! ~> _2890  help him get 900 flwrs & make him smile!,positive,neutral,positive -> neutral
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,neutral,negative,neutral -> negative
off to my cousins confirmation + confirmation party,positive,neutral,positive -> neutral
 wow. hehehe. mushy-mushy mode.,positive,neutral,positive -> neutral
 not worth it! I love the free version for the iPhone though!,neutral,positive,neutral -> positive
but now i have no money for a phone,negative,neutral,negative -> neutral
 i didnt get the msg!! :`( but i bought princess,negative,neutral,negative -> neutral
 and added it to his collection. i was too much of a punk **** to ask for it back.,negative,neutral,negative -> neutral
"_0407 all over the place it was  boo, dual voice challenge was too challenging",neutral,negative,neutral -> negative
aw. nick got his heart broken.  poor baby. i love you!,neutral,positive,neutral -> positive
" that would be awesome i think, i hate how expensive phones are",neutral,negative,neutral -> negative
I think I juz missed my last bus  .. Need to walk home sia - http://tweet.sg,negative,neutral,negative -> neutral
is almost over the legal limit of db at the garage.,negative,neutral,negative -> neutral
" ummm, come on, for me twins and slurpees, and being in a car with the twins is going to be pretty epic!!!",positive,neutral,positive -> neutral
After 42 hours of not sleeping it is time for bed. Alaska-so far so good,positive,negative,positive -> negative
 What would you know about packing? You`re making poor Lauren do it all.,negative,neutral,negative -> neutral
" Awww  that`s no fun, did you take something?",negative,positive,negative -> positive
is very cold,neutral,negative,neutral -> negative
Never commute in the rain. The people get so much meaner to you.,negative,neutral,negative -> neutral
Finally able to get Flight Control for my Ipod. Best game app! 123  **** choppers lol,positive,neutral,positive -> neutral
 Know exactly what you mean  I`ve lost too many friends. I do feel for you all,negative,neutral,negative -> neutral
"well movie night spoilt by fracked up disk-happiness gone, so time for sleep",negative,positive,negative -> positive
Good Morning...hoping to throw back some coffee like right now!,neutral,positive,neutral -> positive
 Sorry for your loss.  I know how you feel.  She or he was a lucky cat.,positive,negative,positive -> negative
 it was fine. i was still up playing inFamous. sorry to hear how things ended up again,neutral,negative,neutral -> negative
"I hate mondays, but I love `s schedule. HELLO, DIGG REEL!",neutral,positive,neutral -> positive
" yeah, it`s gonna be rubbish!",negative,neutral,negative -> neutral
 nice have fun....Although you cant not have fun lol,neutral,positive,neutral -> positive
 really enjoyed the podcast with  This was my 1st time listenening to the show. Will def listen from now on,positive,neutral,positive -> neutral
"goin to bed, but must say i love that #justin timberlake and #mark martin are the #3 and #4 trending topics on twitter tonite!  rock.",neutral,positive,neutral -> positive
"Lady across the way had a miscarriage, say a prayer",neutral,positive,neutral -> positive
last school day tomorrow! it was the funnest day ever. BUt also really sad  Righ ow I`m getting ready to go to Moab with Phil!!!,neutral,negative,neutral -> negative
"Going home  but when i get home , BLACK BERRY ! WOO HOO  . . . and get to see presten ! <3",positive,neutral,positive -> neutral
I dont believe in my eyes or should I say on my browser? OMG OMG OMG,negative,neutral,negative -> neutral
sooo im 20 n im just now findin out i have asthma,negative,neutral,negative -> neutral
"'Viewers of my LinkedIn profiel also viewed Barack Obama, Francisco van Jole and Erwin Blom.' I`m in good company.",positive,neutral,positive -> neutral
melissa_leah: my car wont start.......,negative,neutral,negative -> neutral
Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,neutral,positive,neutral -> positive
" SUFFICATION NO BREATHING. It`s okay. There`ll be more. You`re invited to mine, but I can`t promise fun times.  *Jinx",negative,neutral,negative -> neutral
 lol dammit  well then next time then,negative,neutral,negative -> neutral
" that is definitely an easier way of saying it, yes",positive,neutral,positive -> neutral
" woop rehearsing songs  Yep, sounds even enough to me",positive,neutral,positive -> neutral
_lu Just one part of a very odd trip. You travel for 3 months you see some weirdness. Loved Perth though,neutral,positive,neutral -> positive
"  ha ha, and what game is that? i like games",positive,neutral,positive -> neutral
I gave my brother a hug good-bye.. as he took a load of furniture away from the house. He took the mattress I like,neutral,positive,neutral -> positive
Can`t beat all time low.. (: I soooooo want to go to Metro Station..  Your cheap shots wont be able to break bones,negative,neutral,negative -> neutral
"I didn`t get the job at Stuff Magazine  Dammit, that would have been amazing!! Oh well.",neutral,negative,neutral -> negative
" It`s a beautiful MN day, but I`m stuck inside playing Zelda.  I`ve gotta play at least 10 hrs. today.",positive,neutral,positive -> neutral
too many good shows coming up and no money to buy tickets. fmfl. brand new at the troub?,positive,neutral,positive -> neutral
 wish  was coming too  I guess we can make time for you though if we have to ;),positive,neutral,positive -> neutral
wishes she would call him ...   *hc*,neutral,positive,neutral -> positive
I`m Having a Baby Girl! (In the next 17 Days!) I think I`m gonna keep this handy  http://budurl.com/f9p5 Funny Stuff!,neutral,positive,neutral -> positive
 I don`t even remember what`s on there!!!,neutral,negative,neutral -> negative
 The portuguese national library could use it also. Right now they seem to be in a ca. 1995 web. Example http://u.nu/7y68,neutral,negative,neutral -> negative
awake.  school. ew. but i put on some nice lotion.,positive,neutral,positive -> neutral
 becuz you braggin,positive,neutral,positive -> neutral
just had KFC,neutral,negative,neutral -> negative
On the plane to yosemite. Forgot my laptop at home,neutral,negative,neutral -> negative
 feeling any better hon?,neutral,negative,neutral -> negative
If I 'unfollowed' you - its NOT on purpose. Something fishy is going on with my Tweet Deck !! Let me know if I 'unfollowed' you.,negative,neutral,negative -> neutral
Should I say goodnight or good morning?,neutral,positive,neutral -> positive
 Thanks! Fotoreportage coming soon,neutral,positive,neutral -> positive
was late,negative,neutral,negative -> neutral
" I got a coupon, but I couldn`t register it because you have to be in the US",negative,neutral,negative -> neutral
 i want magic mountain tix but i dont get ur station out in paso  boo sux for me,negative,neutral,negative -> neutral
needed my semi-**** best friend to go shoe shopping with me tonight. Alas he is nowhere to be found.,neutral,positive,neutral -> positive
Jus sittn here thinkin....wow yo my boy is really gone! Smh yo! Its bout to be 3 weeks on Sunday!  R.I.P VON,negative,neutral,negative -> neutral
its getting really windy out there,neutral,negative,neutral -> negative
i just woke up and remembered theres no school!!! life is good  xxxxxx,positive,neutral,positive -> neutral
 oo ok. When I opened up twitterfon and it said I had a reply I was like lauren Conrad andswere me  haha,neutral,negative,neutral -> negative
hmmmmï¿½being home isn`t *all* great  http://u.nu/8m68,positive,neutral,positive -> neutral
is a failure,negative,neutral,negative -> neutral
" lol, i`ve done that one b4  i`m a victim 2 that! lol",negative,neutral,negative -> neutral
tonight in party w/ my girls (minus vita),positive,neutral,positive -> neutral
I want an iPhone <33333,positive,neutral,positive -> neutral
 My camera is brokennn,neutral,negative,neutral -> negative
looking forward to Ben`s baseball game tonight,neutral,positive,neutral -> positive
Whew.... finally home after putting in some hours in the lab. Watching Catch Me if You Can and eating cheese and grapes. Good night,neutral,positive,neutral -> positive
On a flight home  after an awesome trip with my cousin! Miss you sophia,neutral,positive,neutral -> positive
 oh yeah...haven`t seem that in ages!! got to watch that soon!! thanks for reminding me!!,positive,neutral,positive -> neutral
"Gonna miss you Nanna & Bampa, She going to the lake disdrict ):  Omg !! got disney channel. Miss you baby matt  Love you x Will do mitchel",neutral,negative,neutral -> negative
 Lol Only if you make me that cookie.  I`ll hit you up.,negative,neutral,negative -> neutral
Well done doing blood work..its hot out again,neutral,negative,neutral -> negative
 fey slays it in #30rock but title of that film sounds bad  #Inbruges is a funny indie little euro city hitman gone bad tale!,neutral,negative,neutral -> negative
Shower day.,neutral,positive,neutral -> positive
 I`m so sorry  do you want me to call? If not I will be on aim in a couple of hours if you need to vent,negative,neutral,negative -> neutral
Teaching people the beauty of twitter,positive,neutral,positive -> neutral
"  i got one too, but it was on a usb key without the fancy packaging",neutral,negative,neutral -> negative
"Time to get ready for wrk! Ahhhh, I dnt wanna goooo!",negative,neutral,negative -> neutral
euhm i`m french and i don`t really understand English . poo..,neutral,negative,neutral -> negative
Watching my fav movie...Two Can Play That Game! 'Ever notice how men start to act up around Spring time?' Shante Smith,positive,neutral,positive -> neutral
" it is very cheeky one, but nice too",neutral,positive,neutral -> positive
"Trying to got through my 3,000 + unread e-mail messages. Looks like this what I`ll be doing for the rest of the evening.",neutral,negative,neutral -> negative
http://twitpic.com/4wtom - This day is soo stressful! Geee.. Lunch was a blast tho! How are you guys??,neutral,positive,neutral -> positive
stranded @ delhi Airport  flight delayed,negative,neutral,negative -> neutral
I need skott right now,neutral,negative,neutral -> negative
 My club card and picture and I just cured world hunger! And made of gold! This thing is awesome! Too bad you don`t have yours.,neutral,positive,neutral -> positive
just got the dreaded call from babysitter - little H has bumped her head  Sitter says she`s fine and goose egg is going down fast,negative,neutral,negative -> neutral
  I`m @ work and missed everythin yesterday but don`t know wot? Anybody,negative,neutral,negative -> neutral
 it`s ok lol  I think we might do the same dates.,positive,neutral,positive -> neutral
 i tried to help,positive,negative,positive -> negative
_xo  hey chick u alryt u at dads tmoro we sud do sumin aen like last week we neva dun oot this week lol  missed you ha bye hun ****,negative,neutral,negative -> neutral
Thanking god for after elton for allowing me to see the new TW trailer since work blocked youtube and lj,positive,neutral,positive -> neutral
whooaaa. just got an overwheolming itus attack after eating,positive,neutral,positive -> neutral
"  you`re missing out, bb! i`m such a cereal nut, i think i like every kind available.",positive,negative,positive -> negative
I am having a pretty good time at work talking **** with one on  the gymnastics gils,neutral,positive,neutral -> positive
" oh, is it good? I`ve been wanting to watch that movie but nooobody would watch it w/me",negative,neutral,negative -> neutral
just done planting the garden...hope sun will shine soon!,positive,neutral,positive -> neutral
_august84 hahahaha now that is a spooky wish babes  how about a lifetime supply of shoes with matching bags and constant weight?,negative,positive,negative -> positive
 I hate June gloom. I was getting so excited for the beach.,neutral,negative,neutral -> negative
Pissing annoying date stamp on all my pictures. Wish I`d remembered to turn it off.,negative,neutral,negative -> neutral
 awwww... I`m sorry! I changed the picture... just for you! Because you rock like that!,neutral,negative,neutral -> negative
This is what I had to endure to get prizes of to my lucky winners  http://twitpic.com/669nm,negative,neutral,negative -> neutral
It`s sunny and I feel really well today!  Yippeee!,positive,negative,positive -> negative
"_babe woo! im getting mine on monday,cant wait  x",positive,neutral,positive -> neutral
"_World LOL! poor cubbies! brewers on a roll?? my rangers lost, but my Leafs won!",neutral,negative,neutral -> negative
": I saw US Postal was hiring, but once I was done filling out the pre-application thingy it didn`t show me jobs open in the area.",negative,neutral,negative -> neutral
" I need to move to NY, SanFran, or Seattle to get worth-a-**** internet speeds",neutral,negative,neutral -> negative
I always feel sickly when I wake up.  Well got a busy day ahead of me! Yippeee,neutral,negative,neutral -> negative
" ..uuuups today is mother day???....sh***....iï¿½ve forgot it, my work doesnï¿½t have a end *sigh*....thank you for remind it",neutral,positive,neutral -> positive
 I ake it you`re at work then and not lazing at home on a sunny bank holiday.,positive,neutral,positive -> neutral
is wondering what happened to all those froggies at the potato farm!,negative,neutral,negative -> neutral
" `erocka the ruler` i called you, but i see i gets the no love   whats up with that?",negative,neutral,negative -> neutral
Is going to have one upset daughter  in a bit..mr. Rat took a sudden turn for the worse and didn`t make it,negative,neutral,negative -> neutral
" :3, Youtube loves my HD videos  well maybe.",positive,neutral,positive -> neutral
After hearing susan boyle sing she came off as the most beautiful person i`d ever seen. i feel bad for my first impression though,neutral,negative,neutral -> negative
 ooohhh. I understand. I never get sick of her so im on your moms side  I guess your dad just likes what he likes....lol,positive,neutral,positive -> neutral
can`t believe I`m leaving this place tomorrow.,neutral,negative,neutral -> negative
 oh no! I woke up accidentally.  how can we get you to fall asleep? Should I scare you with P2 or P3 stories? JK!,negative,neutral,negative -> neutral
Now have an unpleasant talk w/n-laws 2 look 4ward 2....,negative,neutral,negative -> neutral
 definitely dont be offended. im messing around with various twitter apps and strange things keep happening.,negative,neutral,negative -> neutral
And it stopped raining.  Fuckingtastic! ),negative,neutral,negative -> neutral
Breaking the daily build broke my daily plan as well,negative,neutral,negative -> neutral
 I do now LOL.,positive,neutral,positive -> neutral
"Just found out my kitty isn`t pregnant  its a good thing though, we are going to adopt one instead",positive,neutral,positive -> neutral
 I`m having no luck either  Doing my nut in! Who are you hoping to see?,negative,neutral,negative -> neutral
 lady thinks shes watching scrubs... delusional.  shes bailing on our plans,negative,neutral,negative -> neutral
 whuahahhaha you need to cut down on them Bram Ladages/Applejacks/pancakes,positive,neutral,positive -> neutral
i feel like taking a day off but cannot afford it  looking forward to the dfb cup final tmrw night though. go werder!!!,neutral,positive,neutral -> positive
yay new computer to fiddle about with,neutral,positive,neutral -> positive
Kinda may have chickened out...,negative,neutral,negative -> neutral
10 more minutes and i never have this class again. Its kinda sad cause this class is so fun,neutral,negative,neutral -> negative
"  as a kid, i remember searching with the local video store owner in a godown , got a video tape with fungus badluck",negative,neutral,negative -> neutral
 hahaha I didn`t even notice the name - LICE,positive,neutral,positive -> neutral
 i dont really know..i saw it on the gadget show about something thatmakes messages easier to find or something thank you,neutral,positive,neutral -> positive
says Goodmorning.  http://plurk.com/p/x2bm1,neutral,positive,neutral -> positive
_in I loved that movie! And I miss Raul Julia.,neutral,negative,neutral -> negative
o **** i just accidentally listened to rick ross,negative,neutral,negative -> neutral
" Good god, no. You can fit very few swear words into 140 characters",negative,positive,negative -> positive
Morning.. Coffee and fresh air,positive,neutral,positive -> neutral
Ed is awake! But Andy doesn`t feel so hot so she`s still sleeping.,neutral,negative,neutral -> negative
is thinking so much and i`m at work,neutral,negative,neutral -> negative
Back at home and phone my grandma... I love her and miss her,neutral,positive,neutral -> positive
http://twitpic.com/67rcp - Another one...those were taken at 3 am MET! U see I have a real sleeping disorder,negative,neutral,negative -> neutral
" {{{HUGS}}} Okay, just making sure!",positive,neutral,positive -> neutral
 Oh we`re friends now? You know you`re so up & down with me.  I retract my last statement thennnnnnnn.,neutral,positive,neutral -> positive
Still in same queue barely 1 metre from where i last twittered. This is insane. And i paid for this,negative,neutral,negative -> neutral
 baby I`m in maryland I`m NOT gonna make it  BUT I will see ur sexy **** next sat in camden VIP....come early n hang!!!!!,positive,neutral,positive -> neutral
in my room its too **** warm! windows open but im still cooking !,negative,neutral,negative -> neutral
 DSi is the latest Nintendo DS with 2 cameras + stuff built in. We are a Gadget house. Luckily I get my blackberrys free from work,positive,neutral,positive -> neutral
 Wonderful trip!  Read all 4 Twilight novels.  Completely all consuming and engrossing.  Kinda sad to be done.,neutral,negative,neutral -> negative
My lovely husband made me breakfast in bed this morning. Who says chivalry is dead?,positive,neutral,positive -> neutral
i never knew a dentention was so hard 2 get,negative,neutral,negative -> neutral
 haha **** hell i know ay. **** son he`s just making trouble. we could take him.,negative,neutral,negative -> neutral
Listening music with my friend,neutral,positive,neutral -> positive
Got really sick today  text me later. Nap time,negative,neutral,negative -> neutral
Home w/bae & Myka.. He`s so meann,negative,neutral,negative -> neutral
 It`s not much better than instant.,neutral,positive,neutral -> positive
 I have been to Tara Thai a few times for friend`s birthdays and the food I had was pretty bad.,negative,positive,negative -> positive
 It`s still up the duff boo,neutral,negative,neutral -> negative
Just checked my bank balance. I spend like a millionaire despite the fact I am nowhere near as rich as one.,neutral,negative,neutral -> negative
" praying you get better soon you sweet one , sorry your still not well",positive,neutral,positive -> neutral
